时间,设备名称,片上时间(),加速度X(g),加速度Y(g),加速度Z(g),角速度X(°/s),角速度Y(°/s),角速度Z(°/s),角度X(°),角度Y(°),角度Z(°),磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),温度(℃),电量(),信号(),版本号()
 11:30:28.415,WT5500002564_UDP, 2024-7-22 10:51:28.628, 0.004, 0.014, 0.990, 0.000, 0.000, 0.000, 0.807, -0.225, -30.339, -14.551, 24.316, -24.023, 37.6, 3.66, -69, 13011,
 11:30:28.501,WT5500002557_UDP, 2024-7-22 10:55:25.397, 0.009, 0.021, 0.997, 0.000, 0.000, 0.000, 1.230, -0.472, -115.615, -32.031, -16.211, -44.824, 35.9, 3.71, -75, 13011,
 11:30:28.514,WT5500002564_UDP, 2024-7-22 10:51:28.728, 0.004, 0.014, 0.989, 0.000, 0.000, 0.000, 0.807, -0.225, -30.339, -14.551, 24.316, -24.121, 37.5, 3.66, -69, 13011,
 11:30:28.599,WT5500002557_UDP, 2024-7-22 10:55:25.497, 0.008, 0.021, 0.998, 0.000, 0.000, 0.000, 1.230, -0.472, -115.620, -32.129, -16.211, -44.824, 35.9, 3.71, -75, 13011,
 11:30:28.615,WT5500002564_UDP, 2024-7-22 10:51:28.828, 0.004, 0.014, 0.989, 0.000, 0.000, 0.000, 0.807, -0.225, -30.333, -14.551, 24.414, -24.023, 37.6, 3.66, -69, 13011,
 11:30:28.699,WT5500002557_UDP, 2024-7-22 10:55:25.597, 0.008, 0.021, 0.998, 0.000, 0.000, 0.000, 1.230, -0.472, -115.615, -32.031, -16.211, -44.727, 35.9, 3.71, -75, 13011,
 11:30:28.714,WT5500002564_UDP, 2024-7-22 10:51:28.928, 0.004, 0.014, 0.988, 0.000, 0.000, 0.000, 0.807, -0.225, -30.333, -14.551, 24.414, -24.219, 37.5, 3.66, -71, 13011,
 11:30:28.799,WT5500002557_UDP, 2024-7-22 10:55:25.697, 0.008, 0.022, 0.997, 0.000, 0.000, 0.000, 1.230, -0.472, -115.615, -32.129, -16.113, -44.629, 35.9, 3.71, -75, 13011,
 11:30:28.815,WT5500002564_UDP, 2024-7-22 10:51:29.28, 0.004, 0.014, 0.989, 0.000, 0.000, 0.000, 0.807, -0.225, -30.333, -14.551, 24.316, -24.121, 37.6, 3.66, -71, 13011,
 11:30:28.900,WT5500002557_UDP, 2024-7-22 10:55:25.797, 0.008, 0.022, 0.996, 0.000, 0.000, 0.000, 1.230, -0.472, -115.626, -32.031, -16.211, -44.727, 35.9, 3.71, -75, 13011,
 11:30:28.915,WT5500002564_UDP, 2024-7-22 10:51:29.128, 0.003, 0.014, 0.989, 0.000, 0.000, 0.000, 0.807, -0.225, -30.333, -14.551, 24.219, -24.121, 37.6, 3.66, -71, 13011,
 11:30:28.999,WT5500002557_UDP, 2024-7-22 10:55:25.897, 0.008, 0.021, 0.995, 0.000, 0.000, 0.000, 1.230, -0.472, -115.631, -32.031, -16.211, -44.727, 35.9, 3.71, -75, 13011,
 11:30:29.015,WT5500002564_UDP, 2024-7-22 10:51:29.228, 0.004, 0.014, 0.989, 0.000, 0.000, 0.000, 0.807, -0.225, -30.333, -14.551, 24.316, -24.121, 37.6, 3.66, -71, 13011,
 11:30:29.106,WT5500002557_UDP, 2024-7-22 10:55:25.997, 0.008, 0.021, 0.995, 0.000, 0.000, 0.000, 1.230, -0.472, -115.626, -32.031, -16.016, -44.727, 35.9, 3.71, -75, 13011,
 11:30:29.115,WT5500002564_UDP, 2024-7-22 10:51:29.328, 0.003, 0.015, 0.988, 0.000, 0.000, 0.000, 0.807, -0.225, -30.339, -14.551, 24.316, -24.023, 37.6, 3.66, -71, 13011,
